,N,size,br_hrane_po_stepenu,br_stepena_otrovnosti,agent_memory_size,agent_walk_energy
0,0.30879999999999996,0.3591,0.29415,0.27885,0.0496,1.0
1,0.25235,0.3638,0.1824,0.16699999999999998,0.02115,1.0
2,0.2418,0.36,0.09290000000000001,0.04275,0.01795,1.0
3,0.2464,0.36,0.13615,0.0,0.01645,1.0
4,0.2477,0.36,0.12805,0.0,0.0019,1.0
5,0.24434999999999998,0.3638,0.14204999999999998,0.0,0.004,1.0
6,0.2255,0.3676,0.0998,0.01,0.017400000000000002,1.0
7,0.2406,0.3676,0.08420000000000001,0.0,0.017150000000000002,1.0
8,0.2289,0.3638,0.0969,0.0,0.0058,1.0
9,0.2334,0.3638,0.07505,0.0,0.014150000000000001,1.0
10,0.2291,0.36,0.1274,0.0,0.012350000000000002,1.0
11,0.2272,0.3638,0.0688,0.0,0.00415,1.0
12,0.222,0.3676,0.0785,0.01,0.012,1.0
13,0.2291,0.3828,0.12335,0.0,0.00505,1.0
14,0.2299,0.36,0.07654999999999999,0.0,0.011,1.0
15,0.2228,0.3638,0.10435,0.0,0.02155,1.0
16,0.2229,0.3752,0.062400000000000004,0.0,0.01115,1.0
17,0.2226,0.3676,0.06285,0.02,0.01485,1.0
18,0.2219,0.3638,0.0994,0.0,0.0145,1.0
