,N,size,br_hrane_po_stepenu,br_stepena_otrovnosti,agent_memory_size,agent_walk_energy
509,0.5794,0.0718,0.9988,0.9785,0.7292,0.0
510,0.6217,0.1032,1.0,0.9753,0.6921999999999999,0.0
511,0.5965,0.16905,0.9985,0.9721,0.6383,0.0
512,0.55125,0.2022,0.9982,0.9617,0.6375,0.0
513,0.54735,0.1845,0.9985,0.9457,0.60125,0.0
514,0.5401,0.2766,0.9983,0.9218,0.57665,0.0
515,0.487,0.19774999999999998,0.9984,0.9009,0.57755,0.0
516,0.5211,0.3223,0.9974,0.8969,0.5652,0.0
517,0.5251,0.38655,0.9862,0.8915,0.5258499999999999,0.0
518,0.496,0.336,0.9629,0.8399,0.56475,0.0
519,0.5524,0.38495,0.915,0.787,0.4946,0.0
520,0.5757,0.34595000000000004,0.8859,0.7702,0.47095,0.0
521,0.6104,0.44205,0.8218,0.6956,0.5398499999999999,0.0
522,0.5579,0.39435000000000003,0.7421,0.6522,0.5463,0.0
523,0.5928,0.47090000000000004,0.6792,0.591,0.4951,0.0
524,0.5573,0.44215,0.624,0.6171,0.50945,0.0008
525,0.5575,0.53045,0.5039,0.4559,0.5025,0.9984
526,0.507,0.51805,0.3765,0.4021,0.5035499999999999,1.0
527,0.5937,0.5745,0.3339,0.3854,0.48045,1.0
528,0.5727,0.06920000000000001,0.99,1.0,0.9719,0.0
529,0.4823,0.0004,0.9901,1.0,0.9037499999999999,0.0
530,0.4699,0.0077,0.9901,1.0,0.8675499999999999,0.0
531,0.4911,0.03255,0.9899,1.0,0.82985,0.0
532,0.5395,0.05475,0.9894,1.0,0.7511,0.0
533,0.5582,0.07135,0.9886,1.0,0.72985,0.0
534,0.601,0.0991,0.9902,0.9986,0.6924,0.0
535,0.5636,0.15710000000000002,0.9882,0.9966,0.63905,0.0
536,0.5109,0.19325,0.9879,0.9875,0.636,0.0
537,0.5055,0.17535,0.9883,0.9739,0.5999,0.0
538,0.4956,0.26394999999999996,0.988,0.9536,0.57875,0.0
539,0.4465,0.19025,0.9879,0.9361,0.5754,0.0
540,0.4626,0.3041,0.9871,0.9333,0.567,0.0
541,0.4775,0.37129999999999996,0.9759,0.9259,0.5206,0.0
542,0.4504,0.32105,0.957,0.8815,0.56685,0.0
543,0.5014,0.3635,0.9079,0.8319,0.4888,0.0
544,0.5255,0.32970000000000005,0.8837,0.8146,0.47015,0.0
545,0.5634,0.41869999999999996,0.8093,0.7407,0.5368,0.0
546,0.5046,0.37575,0.7283499999999999,0.6997,0.54525,0.0
547,0.5528,0.44370000000000004,0.6623,0.631,0.49485,0.0
548,0.5033,0.4193,0.5905,0.6527,0.50595,0.0
549,0.4425,0.46954999999999997,0.4961,0.5441,0.4975,0.0016
550,0.4399,0.49235,0.3473,0.4331,0.50435,0.9993
551,0.5487,0.54225,0.3401,0.4231,0.4747,1.0
552,0.5817,0.0696,1.0,0.98,0.95715,0.0
553,0.5041,0.0006,1.0,0.98,0.8714999999999999,0.0
554,0.4925,0.00695,1.0,0.98,0.82775,0.0
555,0.5139,0.031400000000000004,1.0,0.98,0.7858499999999999,0.0
556,0.5684,0.0573,0.9999,0.98,0.7128,0.0
557,0.57775,0.07089999999999999,0.9997,0.98,0.69505,0.0
