,N,size,br_hrane_po_stepenu,br_stepena_otrovnosti,agent_memory_size,agent_walk_energy
0,0.42474999999999996,0.8087,0.25745,0.26415,0.1263,0.9985
1,0.37415,0.889,0.20005,0.1816,0.06365,1.0
2,0.37735,0.9255,0.1896,0.0099,0.0433,1.0
3,0.3953,0.9389,0.1812,0.01,0.04285,1.0
4,0.3732,0.9446,0.217,0.0,0.05475,1.0
5,0.3561,0.94895,0.15885,0.01,0.0398,1.0
6,0.3757,0.94875,0.1416,0.0,0.04915,1.0
7,0.36435,0.94995,0.13799999999999998,0.01,0.01795,1.0
8,0.3765,0.9497,0.23535,0.0,0.020999999999999998,1.0
9,0.3651,0.95005,0.18005000000000002,0.0,0.02265,1.0
10,0.3751,0.9507,0.1045,0.0,0.045700000000000005,1.0
11,0.3726,0.95,0.10314999999999999,0.0,0.02645,1.0
12,0.3642,0.95,0.0584,0.0,0.02925,1.0
13,0.365,0.95025,0.01055,0.0,0.03925,1.0
14,0.36225,0.95075,0.03895,0.01,0.04115,1.0
15,0.3617,0.9505,0.0198,0.0083,0.036449999999999996,1.0
16,0.3645,0.95,0.0,0.0,0.0138,1.0
17,0.372,0.95045,0.0,0.0,0.04485,1.0
18,0.37705,0.9503,0.01,0.02,0.0509,1.0
19,0.36745,0.9502,0.01,0.0,0.0258,1.0
20,0.3636,0.95065,0.0,0.0,0.0518,1.0
21,0.3514,0.95,0.0,0.01,0.0655,1.0
22,0.3576,0.9501499999999999,0.0,0.0,0.0524,1.0
23,0.3544,0.95005,0.0,0.01,0.016550000000000002,1.0
